;"LLUVIA POBL.
(mm)";"TEMPERATURA
  MEDIA (ºc)";"APORTACIONES A LA PRESA
(hm³)";"VOLUMEN EMBALSADO
(hm³)";"VOLUMEN PARA RIEGO
(m³)";"VOLUMEN PARA ABASTECIMIENTO
(m³)";"VOLUMEN VERTIDO
(m³)"
01/01/1992;0;0;0,003484;51,647;0;0;0
02/01/1992;0;0;0,030484;51,674;0;0;0
03/01/1992;0;0;0,004824;51,674;0;0;0
04/01/1992;0;0;0,030484;51,701;0;0;0
05/01/1992;0;0;0,031824;51,728;0;0;0
06/01/1992;0;0;0,002948;51,728;0;0;0
07/01/1992;0;0;0,031824;51,755;0;0;0
08/01/1992;0;0;0,003752;51,755;0;0;0
09/01/1992;0;0;0,027072;51,781;0;0;0
10/01/1992;0;0;0,0067;51,781;0;0;0
11/01/1992;0;0;0,035576;51,808;0;0;0
12/01/1992;0;0;0,00536;51,808;0;0;0
13/01/1992;0;0;0,029144;51,835;0;0;0
14/01/1992;0;0;0,004288;51,835;0;0;0
15/01/1992;0;0;0,02968;51,862;0;0;0
16/01/1992;0;0;0,003752;51,862;0;0;0
17/01/1992;0;0;0,030752;51,889;0;0;0
18/01/1992;0;0;0,032092;51,916;0;0;0
19/01/1992;0;0;0,004824;51,916;0;0;0
20/01/1992;0;0;0,030304;51,942;0;0;0
21/01/1992;0;0;0,011298;51,942;0;0;0
22/01/1992;0;0;0,03238;51,969;0;0;0
23/01/1992;0;0;0,004842;51,969;0;0;0
24/01/1992;0;0;0,040181;51,996;0;0;0
25/01/1992;0;0;0,008339;51,996;0;0;0
26/01/1992;0;0;0,00807;51,996;0;0;0
27/01/1992;0;0;0,005649;51,996;0;0;0
28/01/1992;5;0;0,003497;51,996;0;0;0
29/01/1992;7;0;0,029421;52,023;0;0;0
30/01/1992;0;0;0,042333;52,05;0;0;0
31/01/1992;6;0;0,02969;52,077;0;0;0
01/02/1992;0;0;0,02969;52,104;0;0;0
02/02/1992;0;0;0,03238;52,131;0;0;0
03/02/1992;0;0;0,030573;52,157;0;0;0
04/02/1992;0;0;0,032918;52,184;0;0;0
05/02/1992;0;0;0,00538;51,996;0;0;0,188
06/02/1992;0;0;0,007263;51,996;0;0;0
07/02/1992;0;0;0,033994;52,023;0;0;0
08/02/1992;0;0;0,005111;52,023;0;0;0
09/02/1992;0;0;0,03238;52,05;0;0;0
10/02/1992;0;0;0,004035;52,05;0;0;0
11/02/1992;0;0;0,03238;52,077;0;0;0
12/02/1992;0;0;0,00538;52,077;0;0;0
13/02/1992;0;0;0,01076;52,077;0;0;0
14/02/1992;0;0;0,01345;52,077;0;0;0
15/02/1992;0;0;0,010491;52,077;0;0;0
16/02/1992;0;0;0,036415;52,104;0;0;0
17/02/1992;0;0;0,011567;52,104;0;0;0
18/02/1992;5,5;0;0,001883;52,104;0;0;0
19/02/1992;1;0;0,027538;52,131;0;0;0
20/02/1992;21,5;0;0,24713;52,373;0;0;0
21/02/1992;0;0;0,11124;52,481;0;0;0
22/02/1992;3;0;0,081813;52,562;0;0;0
23/02/1992;0;0;0,03513;52,589;0;0;0
24/02/1992;0,5;0;0,03342;52,617;0;0;0
25/02/1992;3,5;0;0,054542;52,671;0;0;0
26/02/1992;0;0;0,064027;52,725;0;0;0
27/02/1992;0;0;0,00813;52,725;0;0;0
28/02/1992;0;0;0,032962;52,752;0;0;0
29/02/1992;0;0;0,006504;52,752;0;0;0
01/03/1992;0;0;0,031607;52,779;0;0;0
02/03/1992;1,5;0;0,00542;52,779;0;0;0
03/03/1992;1;0;0,005691;52,779;0;0;0
04/03/1992;0;0;-0,024561;52,752;0;0;0
05/03/1992;0;0;0,002168;52,752;0;0;0
06/03/1992;0;0;0,031878;52,779;0;0;0
07/03/1992;5,5;0;0,031607;52,806;0;0;0
08/03/1992;0;0;0,032691;52,833;0;0;0
09/03/1992;0;0;0,035344;52,861;0;0;0
10/03/1992;1;0;0,03108;52,888;0;0;0
11/03/1992;0;0;0,032168;52,915;0;0;0
12/03/1992;0;0;0,034344;52,942;0;0;0
13/03/1992;0;0;0,03244;52,969;0;0;0
14/03/1992;0;0;0,009248;52,969;0;0;0
15/03/1992;0;0;0,035704;52,996;0;0;0
16/03/1992;0;0;0,009248;52,996;0;0;0
17/03/1992;0;0;0,037792;53,024;0;0;0
18/03/1992;0;0;0,009792;53,024;0;0;0
19/03/1992;0;0;0,034616;53,051;0;0;0
20/03/1992;0;0;0,005712;53,051;0;0;0
21/03/1992;0;0;0,037608;53,078;0;0;0
22/03/1992;0;0;0,011696;53,078;0;0;0
23/03/1992;0;0;0,038424;53,105;0;0;0
24/03/1992;0;0;0,023392;53,105;0;0;0
25/03/1992;0;0;0,046496;53,133;0;0;0
26/03/1992;0;0;0,01224;53,133;0;0;0
27/03/1992;0;0;0,021216;53,133;0;0;0
28/03/1992;0;0;0,012784;53,133;0;0;0
29/03/1992;0;0;0,015232;53,133;0;0;0
30/03/1992;0;0;0,01088;53,133;0;0;0
31/03/1992;18,5;0;0,009248;53,133;0;0;0
01/04/1992;2;0;0,063906979;53,214;0;0;0
02/04/1992;0;0;0,035364933;53,242;0;0;0
03/04/1992;1;0;0,030820101;53,269;0;0;0
04/04/1992;25,5;0;0,497391582;53,762;0;0;0
05/04/1992;0;0;0,255808983;54,009;0;0;0
06/04/1992;0;0;0,146547609;54,147;0;0;0
07/04/1992;8;0;0,147390079;54,285;0;0;0
08/04/1992;0;0;0,097928226;54,368;0;0;0
09/04/1992;0;0;0,121902759;54,478;0;0;0
10/04/1992;0;0;0,181976827;54,645;0;0;0
11/04/1992;0;0;0,071096701;54,7;0;0;0
12/04/1992;0;0;0,063498153;54,756;0;0;0
